genes,number_of_gene_overlaps,overlapping_genes,automatic_classification,final_classification,transcripts_for_deletion,comments
LINC01968,1,AC106706.1,,keep as is,,
LINC01989,1,ASIC2,,keep as is,,
LINC02024,1,AC092691.1,,keep as is,,
LINC02049,1,AC072026.2,,keep as is,,
LINC02060,1,AC091826.2,,keep as is,,
LINC02067,1,AC112491.1,,keep as is,,
LINC02085,1,AC106712.1,,keep as is,,One transcript
LINC02110,1,GDNF-AS1,,Delete,,Overlaps with another gene's exons
LINC02155,1,LINC02842,,keep as is,,
LINC02157,1,AC012409.2,,keep as is,,
LINC02174,1,AC074254.1,,keep as is,,
LINC02177,1,AC012178.1,,keep as is,,
LINC02181,1,AC106745.1,,keep as is,,
LINC02190,1,AC106730.1,,keep as is,,
LINC02193,1,FAM157C,,premature tr. deleted,LINC02193-207,
LINC02196,1,AC122710.1,,keep as is,,
LINC02197,1,AC145141.2,,keep as is,,
LINC02198,1,AC093523.1,,keep as is,,
LINC02211,1,AC106754.1,,keep as is,,
LINC02212,1,AC092336.1,,keep as is,,
LINC02228,1,AC099499.2,,keep as is,,
LINC02236,1,AC122710.2,,keep as is,,
LINC02237,1,AC022360.2,,keep as is,,
LINC02239,1,AC106821.2,,keep as is,,
LINC02256,1,AC123768.4,,keep as is,,
LINC02263,1,LINC01378,,keep as is,,
LINC02289,1,AC007686.2,,keep as is,,
LINC02293,1,AL110292.1,,keep as is,,
LINC02327,1,AL135878.1,,keep as is,,
LINC02337,1,AL359649.1,,keep as is,,
LINC02340,1,LINC00412,,keep as is,,
LINC02344,1,STARD13,,keep as is,,
LINC02370,1,AC140118.1,,keep as is,,
LINC02384,1,AC008033.3,,keep as is,,
LINC02399,1,AC009522.1,,keep as is,,
LINC02418,1,AC055717.2,,keep as is,,
LINC02435,1,AC093821.1,,keep as is,,
LINC02456,1,HELLPAR,,keep as is,,
LINC02471,1,LRRK2,,keep as is,,
LINC02478,1,AC092153.1,,keep as is,,
LINC02484,1,AC110790.1,,keep as is,,
LINC02508,1,AC093909.2,,keep as is,,
LINC02537,1,AL157371.1,,keep as is,,
LINC02542,1,AL360157.1,,keep as is,,
LINC02545,1,AC027779.1,,keep as is,,
LINC02571,1,HLA-B,,keep as is,,
LINC02588,1,AL110292.1,,keep as is,,
LINC02599,1,AC022915.2,,keep as is,,
LINC02605,1,AC083837.1,,keep as is,,
LINC02607,1,AL683887.1,,keep as is,,
LINC02614,1,AC092903.2,,premature tr. deleted,"LINC02614-218, LINC02614-220, LINC02614-221, LINC02614-224",
LINC02619,1,AC017091.1,,keep as is,,
LINC02622,1,AC073176.2,,keep as is,,
LINC02649,1,LINC02656,,keep as is,,
LINC02653,1,AL390862.1,,keep as is,,
LINC02656,1,LINC02649,,keep as is,,
LINC02677,1,LINC02657,,keep as is,,
LINC02678,1,LINC02657,,keep as is,,
LINC02693,1,AC068418.2,,keep as is,,
LINC02698,1,AP002991.2,,keep as is,,
LINC02700,1,AP000943.1,,keep as is,,
LINC02755,1,LINC01616,,keep as is,,
LINC02757,1,AP001189.5,,keep as is,,
LINC02806,1,AC245100.1,,keep as is,,
LINC02822,1,AC112481.1,,keep as is,,
LINC02842,1,LINC02155,,keep as is,,
LINC-PINT,1,AC016831.7,,keep as is,,
LINGO4,1,RORC,,keep as is,,Only one transcript
LIPC-AS1,1,ALDH1A2,,keep as is,,
LIPE,1,AC011497.1,,keep as is,,
LIPT1,1,AC079447.1,,keep as is,,
LIX1-AS1,1,AC008883.3,,keep as is,,
LMNTD1,1,AC022367.1,,keep as is,,
LMO7,1,AL137244.1,,keep as is,,
LMO7DN,1,LMO7DN-IT1,,keep as is,,
LMO7DN-IT1,1,LMO7DN,,keep as is,,
LMX1B,1,AL161908.2,,keep as is,,
LOXL2,1,ENTPD4,,keep as is,,
LPIN1,1,AC106875.1,,keep as is,,
LPO,1,AC005962.2,,keep as is,,
LRCH1,1,AL359880.1,,keep as is,,
LRFN1,1,AC011445.1,,keep as is,,
LRIT3,1,RRH,,premature tr. deleted,LRIT3-202,
LRP1B,1,AC078882.1,,keep as is,,
LRRC14B,1,AC021087.4,,keep as is,,
LRRC18,1,AC060234.3,,keep as is,,
LRRC24,1,C8orf82,,keep as is,,no good candidates to delete
LRRC4B,1,AC008743.1,,keep as is,,
LRRC69,1,SLC26A7,,keep as is,,
LRRC70,1,IPO11,,keep as is,,
LRRC8C,1,AC093423.2,,keep as is,,
LRRFIP1,1,RBM44,,readthrough tr. deleted,LRRFIP1-214,
LRRK2,1,LINC02471,,keep as is,,
LRRTM3,1,AL139240.1,,keep as is,,
LRTOMT,1,AP000812.4,,keep as is,,
LSMEM1,1,IFRD1,,keep as is,,minimal overlap
LSP1,1,AC051649.1,,keep as is,,
LSR,1,AC002128.1,,keep as is,,
LTB4R,1,LTB4R2,,premature tr. deleted,"LTB4R-201, LTB4R-204",
LUC7L2,1,FMC1,,premature tr. deleted,LUC7L2-208,
LUZP1,1,AL031428.1,,keep as is,,
LUZP6,1,MTPN,,Delete,,Single transcript. Completely overlapping with MTPN. Removing as LUZP6 is missing in newest annotations.
LY6G5B,1,CSNK2B,,keep as is,,
LYN,1,AC018607.1,,keep as is,,
LYPD5,1,AC115522.1,,keep as is,,
LYVE1,1,MRVI1,,keep as is,,
MACC1,1,AC005062.1,,keep as is,,
MACF1,1,AL356055.1,,keep as is,,
MACROD1,1,AP006333.1,,keep as is,,
MACROD2,1,MACROD2-IT1,,keep as is,,
MACROD2-IT1,1,MACROD2,,keep as is,,
MAFG,1,SIRT7,,keep as is,,
MAFIP,1,AC145212.1,,keep as is,,
MAGEB1,1,MAGEB4,,premature tr. deleted,"MAGEB1-201, MAGEB1-203",
MAGEB4,1,MAGEB1,,keep as is,,
MAGI1-IT1,1,MAGI1,,keep as is,,
MAIP1,1,C2orf69,,keep as is,,
MAMDC4,1,PHPT1,,premature tr. deleted,MAMDC4-205,
MAP4K3,1,AC007684.2,,keep as is,,
MAP4K3-DT,1,TMEM178A,,keep as is,,
MAPK12,1,HDAC10,,readthrough tr. deleted,MAPK12-209,
MAPK6,1,AC090970.1,,keep as is,,
MAPK6-DT,1,AC090970.2,,keep as is,,
MAPK8IP3,1,AL031710.2,,keep as is,,
MAPT-IT1,1,MAPT,,keep as is,,
MARS2,1,AC011997.1,,keep as is,,
MAST4,1,MAST4-IT1,,keep as is,,
MAST4-IT1,1,MAST4,,keep as is,,
MATR3,1,MATR3,,premature tr. deleted,"MATR3-229, MATR3-230, MATR3-231, MATR3-232, MATR3-233, MATR3-234, MATR3-235, MATR3-236, MATR3-237, MATR3-238, MATR3-239",
MB,1,AL049747.1,,keep as is,,
MBD3L1,1,AC008734.2,,keep as is,,
MBTD1,1,AC006141.1,,keep as is,,
MBTPS1,1,AC040169.3,,keep as is,,
MBTPS2,1,YY2,,readthrough tr. deleted,MBTPS2-203,
MC1R,1,TCF25,,keep as is,,
MCC,1,TSSK1B,,keep as is,,
MCL1,1,ADAMTSL4-AS1,,keep as is,,
MCM3AP,1,AP001469.3,,keep as is,,
MCM3AP-AS1,1,AP001469.2,,keep as is,,
MCOLN1,1,PNPLA6,,keep as is,,
MCTS2P,1,HM13,,keep as is,,
MCU,1,AC016542.1,,keep as is,,
MDM2,1,AC025423.1,,keep as is,,
MECOM,1,AC007849.1,,keep as is,,
MED12L,1,AC078816.1,,keep as is,,
MED13L,1,AC130895.1,,keep as is,,
MED21,1,AC092747.4,,keep as is,,
MED26,1,AC008764.7,,keep as is,,
MED7,1,HAVCR2,,keep as is,,
MEF2B,1,BORCS8,,premature tr. deleted,MEF2B-205,
MEF2C-AS2,1,AC008525.2,,keep as is,,
MEMO1,1,DPY30,,keep as is,,
METTL1,1,CYP27B1,,keep as is,,
METTL15,1,AC013714.1,,keep as is,,
METTL4,1,AP005136.3,,keep as is,,
METTL6,1,EAF1-AS1,,premature tr. deleted,METTL6-210,
METTL9,1,AC005632.3,,keep as is,,
MFAP3,1,GALNT10,,readthrough tr. deleted,MFAP3-204,
MFRP,1,C1QTNF5,,readthrough tr. deleted,MFRP-205,
MFSD2B,1,FKBP1B,,readthrough tr. deleted,MFSD2B-203,
MGAM,1,OR9A4,,keep as is,,
MGARP,1,NDUFC1,,keep as is,,
MGAT4C,1,AC010196.1,,keep as is,,
MGMT,1,AL157832.1,,keep as is,,
MIAT,1,MIATNB,,keep as is,,
MIATNB,1,MIAT,,keep as is,,
MICA,1,HCP5,,keep as is,,Changing nomenclature
MICAL1,1,ZBTB24,,premature tr. deleted,MICAL1-208,
MICAL2,1,AC025300.1,,keep as is,,
MICOS10,1,NBL1,,keep as is,,
MICU1,1,AC091769.2,,keep as is,,
MIEF1,1,AL022312.1,,RENAME,,"Rename ""MIEF1-AL022312.1"". Exons fully overlapping."
MINDY2,1,AC090515.5,,keep as is,,
MIR222HG,1,AC234772.2,,keep as is,,
MIR3150BHG,1,AC068189.1,,keep as is,,
MIR31HG,1,IFNE,,keep as is,,
MIR3681HG,1,AC096559.1,,keep as is,,
MIR4300HG,1,AP000793.1,,keep as is,,
MIR4307HG,1,AL110292.1,,keep as is,,
MIR4527HG,1,AC102797.1,,keep as is,,
MIR583HG,1,AC104123.1,,keep as is,,
MIR600HG,1,STRBP,,keep as is,,
MIR670HG,1,AC068205.1,,keep as is,,
MIRLET7BHG,1,PRR34-AS1,,premature tr. deleted,MIRLET7BHG-202,
MKNK1,1,MOB3C,,premature tr. deleted,MKNK1-225,
MLIP-IT1,1,MLIP,,keep as is,,
MLLT10,1,AL358780.1,,keep as is,,
MLXIPL,1,AC005089.1,,keep as is,,
MLYCD,1,OSGIN1,,keep as is,,
MMP28,1,AC006237.1,,keep as is,,
MMRN2,1,ADIRF-AS1,,keep as is,,
MOB1B,1,DCK,,readthrough tr. deleted,MOB1B-205,
MOB3B,1,AL451123.2,,keep as is,,
MOB3C,1,MKNK1,,keep as is,,
MOCOS,1,AC023043.4,,keep as is,,
MOCS1,1,AL590999.1,,keep as is,,
MON1B,1,SYCE1L,,keep as is,,
MORC4,1,RIPPLY1,,keep as is,,
MORN2,1,ARHGEF33,,readthrough tr. deleted,MORN2-206,
MOV10L1,1,AL034546.1,,keep as is,,
MPDZ,1,AL162386.2,,keep as is,,
MRE11,1,AP000786.1,,keep as is,,
MREG,1,PECR,,keep as is,,
MRNIP,1,TBC1D9B,,premature tr. deleted,MRNIP-210,
MRPL28,1,TMEM8A,,premature tr. deleted,MRPL28-211,
MRPL30,1,AC079447.1,,keep as is,,
MRPL33,1,BABAM2,,readthrough tr. deleted,MRPL33-203,
MRPL43,1,AL133215.1,,keep as is,,
MRPL53,1,CCDC142,,keep as is,,
MRPL9,1,AL589765.4,,keep as is,,Overlaps slightly on 5' end
MRPS17,1,NIPSNAP2,,keep as is,,
MRPS28,1,AC036214.2,,keep as is,,
MRPS5,1,ZNF514,,premature tr. deleted,MRPS5-205,
MRPS6,1,SLC5A3,,premature tr. deleted,"MRPS6-202, MRPS6-205",
MRTFB,1,AC130650.2,,keep as is,,
MRVI1,1,LYVE1,,keep as is,,
MSANTD2,1,AP000866.6,,keep as is,,
MSH2,1,AC138655.1,,keep as is,,
MSRB3,1,AC026124.1,,keep as is,,
MTA1,1,TEX22,,keep as is,,
MT-ATP8,1,MT-ATP6,,keep as is,,
MTCL1,1,AP000864.1,,keep as is,,
MT-CO3,1,MT-ATP6,,keep as is,,
MTCP1,1,CMC4,,keep as is,,
MT-ND4,1,MT-ND4L,,keep as is,,
MT-ND4L,1,MT-ND4,,keep as is,,
MTPN,1,LUZP6,,keep as is,,"Completely obscures LUZP6. However, LUZP6 has been removed in the newest genome annotations so leaving this intact."
MTRF1,1,AL354696.1,,keep as is,,
MVB12A,1,BISPR,,premature tr. deleted,"MVB12A-205, MVB12A-208, MVB12A-210, MVB12A-214",
MVP,1,PAGR1,,keep as is,,
MXD1,1,SNRNP27,,premature tr. deleted,MXD1-204,
MXD3,1,RAB24,,readthrough tr. deleted,"MXD3-205, MXD3-207",
MYADML2,1,PYCR1,,keep as is,,only one transcript
MYCBP2,1,MYCBP2-AS2,,keep as is,,
MYCBP2-AS1,1,AC001226.1,,keep as is,,
MYCBP2-AS2,1,MYCBP2,,keep as is,,
MYDGF,1,AC005339.1,,keep as is,,
MYL6,1,MYL6B,,keep as is,,
MYL6B,1,MYL6,,readthrough tr. deleted,MYL6B-203,
MYO18A,1,TIAF1,,RENAME,,"Rename to ""MYO18A-TIAF1"""
MYO1A,1,TAC3,,keep as is,,
MYO5B,1,AC091044.1,,keep as is,,
MYZAP,1,GCOM1,,Delete,,Almost completely overlaps with GCOM1. Renaming the latter.
N4BP2L2,1,N4BP2L2-IT2,,keep as is,,
N4BP2L2-IT2,1,N4BP2L2,,keep as is,,
NAA10,1,ARHGAP4,,keep as is,,
NAA60,1,AC025283.2,,keep as is,,
NAA80,1,HYAL3,,keep as is,,
NAAA,1,SDAD1,,keep as is,,really minor overlap
NACA,1,PRIM1,,premature tr. deleted,NACA-213,
NACC1,1,AC005546.1,,keep as is,,
NAE1,1,AC044802.2,,keep as is,,
NARF,1,NARF-IT1,,keep as is,,
NARF-IT1,1,NARF,,keep as is,,
NAV2,1,NAV2-IT1,,keep as is,,
NAV2-IT1,1,NAV2,,keep as is,,
NBL1,1,MICOS10,,premature tr. deleted,NBL1-210,
NBPF10,1,NOTCH2NLA,,premature tr. deleted,NBPF10-202,
NBPF14,1,NOTCH2NLB,,premature tr. deleted,NBPF14-202,
NBPF26,1,AC253572.1,,premature tr. deleted,"NBPF26-208, NBPF26-209, NBPF26-211",
NCAPD2,1,AC006064.5,,keep as is,,
NCAPH2,1,U62317.2,,keep as is,,
NCK1,1,IL20RB,,keep as is,,
NCK1-DT,1,AC096992.2,,keep as is,,
NCKAP5,1,NCKAP5-IT1,,keep as is,,
NCKAP5-IT1,1,NCKAP5,,keep as is,,
NCOA6,1,PIGU,,keep as is,,
NDRG2,1,RNASE13,,keep as is,,
NDUFA13,1,YJEFN3,,keep as is,,
NDUFA6,1,AL021878.2,,keep as is,,
NDUFAF6,1,AC087752.3,,keep as is,,
NDUFB2,1,ADCK2,,premature tr. deleted,NDUFB2-215,
NDUFC1,1,MGARP,,readthrough tr. deleted,NDUFC1-205,
NDUFV1,1,AP003385.3,,keep as is,,
NEBL,1,C10orf113,,keep as is,,
NEDD4L,1,AC090236.2,,keep as is,,
NEGR1,1,NEGR1-IT1,,keep as is,,
NEGR1-IT1,1,NEGR1,,keep as is,,
NEK6,1,AL162724.1,,keep as is,,
NEK8,1,AC010761.6,,keep as is,,
NETO1,1,AC023301.1,,keep as is,,
NEURL1,1,AL121929.1,,keep as is,,
NEUROD1,1,CERKL,,keep as is,,
NF1,1,AC079915.1,,keep as is,,
NFKBIZ,1,NXPE3,,premature tr. deleted,"NFKBIZ-203, NFKBIZ-204, NFKBIZ-207",
NHLRC4,1,PIGQ,,keep as is,,
NHS,1,Z93022.1,,keep as is,,
NIN,1,AL606834.2,,keep as is,,
NINJ2,1,AC006205.2,,keep as is,,
NIPA1,1,AC138649.1,,premature tr. deleted,NIPA1-202,
NIPBL-DT,1,AC026741.1,,keep as is,,
NIPSNAP1,1,THOC5,,keep as is,,
NIPSNAP2,1,MRPS17,,premature tr. deleted,NIPSNAP2-204,
NKAIN2,1,AL354936.1,,keep as is,,
NKAIN3,1,NKAIN3-IT1,,keep as is,,
NKAIN3-IT1,1,NKAIN3,,keep as is,,
NKX2-1-AS1,1,AL132857.1,,keep as is,,
NLRP1,1,AC055839.2,,keep as is,,
NME4,1,DECR2,,readthrough tr. deleted,NME4-205,
NME8,1,EPDR1,,keep as is,,
NOD2,1,AC007728.3,,keep as is,,
NOP9,1,LTB4R2,,keep as is,,
NOTCH2NLA,1,NBPF10,,keep as is,,
NOTCH2NLB,1,NBPF14,,keep as is,,
NOTCH4,1,GPSM3,,keep as is,,
NOVA1,1,AL079343.1,,keep as is,,
NPAP1,1,PWRN1,,keep as is,,
NPAS2,1,AC092168.2,,keep as is,,
NPB,1,ANAPC11,,premature tr. deleted,NPB-202,
NPEPL1,1,AL139349.1,,keep as is,,
NPTN,1,NPTN-IT1,,keep as is,,
NPTN-IT1,1,NPTN,,keep as is,,
NPY2R,1,AC097467.3,,keep as is,,
NQO2,1,LINC01011,,premature tr. deleted,"NQO2-206, NQO2-208",
NR2F2-AS1,1,AC012409.3,,keep as is,,
NRBP2,1,AC234917.1,,keep as is,,
NRG1-IT1,1,NRG1,,keep as is,,
NRG1-IT3,1,NRG1,,keep as is,,
NRG3-AS1,1,AC010157.1,,keep as is,,
NRROS,1,PIGX,,keep as is,,
NRXN3,1,AC022469.1,,keep as is,,
NSD1,1,AC146507.3,,keep as is,,
NSFL1C,1,SIRPB2,,premature tr. deleted,NSFL1C-210,
NSG2,1,AC011333.1,,keep as is,,
NSMCE3,1,FAM189A1,,keep as is,,
NSUN6,1,AL450384.2,,keep as is,,
NTM,1,NTM-IT,,keep as is,,
NTM-IT,1,NTM,,keep as is,,
NUDT22,1,DNAJC4,,keep as is,,
NUDT3,1,RPS10-NUDT3,,keep as is,,
NUFIP1,1,AL359706.1,,keep as is,,
NUP133,1,AL160004.1,,keep as is,,
NUP50,1,AL008718.3,,keep as is,,
NUP50-DT,1,Z82243.1,,keep as is,,
NUP62,1,IL4I1,,keep as is,,
NUP88,1,AC015727.1,,keep as is,,
NUP98,1,CHRNA10,,keep as is,,
NUSAP1,1,AC087721.1,,keep as is,,
NUTM2D,1,LINC00863,,keep as is,,ok small overlap
NWD1,1,AC008737.3,,keep as is,,
NXPE3,1,NFKBIZ,,keep as is,,
OAZ3,1,AL589765.2,,keep as is,,
OBSCN,1,AL353593.3,,keep as is,,
OCLM,1,ODR4,,keep as is,,
ODF3B,1,TYMP,,keep as is,,
ODR4,1,OCLM,,keep as is,,
OGFOD3,1,AC132938.2,,keep as is,,
OLFML3,1,AL591742.2,,keep as is,,
OMA1,1,DAB1,,keep as is,,
OMP,1,CAPN5,,keep as is,,
OPA3,1,GPR4,,premature tr. deleted,OPA3-203,
OPCML-IT1,1,OPCML,,keep as is,,
OPCML-IT2,1,OPCML,,keep as is,,
OPN3,1,CHML,,keep as is,,
OR11A1,1,OR5V1,,keep as is,,
OR12D3,1,OR5V1,,keep as is,,
OR14K1,1,AL390860.1,,keep as is,,
OR1F1,1,AJ003147.2,,keep as is,,
OR1J2,1,AL359636.2,,keep as is,,
OR1J4,1,AL359636.2,,keep as is,,
OR1N2,1,AL359636.2,,keep as is,,
OR1Q1,1,AL359636.2,,keep as is,,
OR2AE1,1,TRIM4,,keep as is,,One transcript
OR2C3,1,GCSAML-AS1,,keep as is,,
OR2D2,1,AC087280.2,,keep as is,,
OR3A1,1,OR3A2,,keep as is,,
OR3A2,1,OR3A1,,keep as is,,
OR4M1,1,OR4N2,,keep as is,,
OR4Q3,1,OR4N2,,keep as is,,
OR51A7,1,MMP26,,keep as is,,
OR51C1P,1,OR51E2,,keep as is,,One transcript
OR51E2,1,OR51C1P,,keep as is,,
OR51F2,1,MMP26,,keep as is,,
OR51T1,1,MMP26,,keep as is,,
OR52B2,1,AC022762.1,,keep as is,,
OR52E6,1,TRIM5,,keep as is,,
OR52E8,1,TRIM5,,keep as is,,
OR52H1,1,AC104389.5,,keep as is,,
OR52N1,1,TRIM5,,keep as is,,
OR52N5,1,TRIM5,,keep as is,,
OR56B1,1,TRIM22,,keep as is,,One transcript
OR5H2,1,AC117473.1,,keep as is,,
OR5H6,1,AC117473.1,,keep as is,,
OR5K3,1,AC117473.1,,keep as is,,
OR5K4,1,AC117473.1,,keep as is,,
OR5P2,1,AC044810.2,,keep as is,,
OR5P3,1,AC044810.2,,keep as is,,
OR6C70,1,AC122685.1,,keep as is,,
OR6Q1,1,OR9Q1,,keep as is,,
OR7A5,1,OR7C1,,keep as is,,No good transcript to delete
OR7C1,1,OR7A5,,keep as is,,
OR9A4,1,MGAM,,keep as is,,
OR9Q1,1,OR6Q1,,keep as is,,
OSBPL1A,1,AC090772.3,,keep as is,,
OSBPL9,1,AL050343.2,,readthrough tr. deleted,OSBPL9-227,
OSGIN1,1,MLYCD,,premature tr. deleted,"OSGIN1-201, OSGIN1-202, OSGIN1-204, OSGIN1-207",
OVCA2,1,DPH1,,Delete,,Completely overlaps with the exon of another gene. Rename the latter.
OVOL2,1,SNX5,,readthrough tr. deleted,OVOL2-204,
OXCT1-AS1,1,AC034222.2,,keep as is,,
OXCT2,1,BMP8B,,keep as is,,
P2RX6,1,THAP7-AS1,,premature tr. deleted,P2RX6-209,
P2RY11,1,PPAN,,keep as is,,
P3H3,1,GPR162,,keep as is,,Overlap extent and direction ok.
P4HTM,1,WDR6,,keep as is,,
PABPC4L,1,AC015631.1,,keep as is,,
PABPN1,1,BCL2L2-PABPN1,,keep as is,,
PACSIN2,1,ARFGAP3,,readthrough tr. deleted,PACSIN2-211,
PAGR1,1,MVP,,keep as is,,No good options to disamibugate \
PAH,1,AC026108.1,,keep as is,,
PANTR1,1,LINC01114,,keep as is,,
PAPOLB,1,RADIL,,keep as is,,
PAPPA-AS2,1,AL137024.1,,keep as is,,
PAQR5,1,AC027237.4,,keep as is,,
PAQR8,1,EFHC1,,keep as is,,"fixing upstream gene, somewhat of a nested structure"
PAQR9-AS1,1,U2SURP,,keep as is,,
PARAL1,1,ANKEF1,,keep as is,,
PARD6G-AS1,1,AC139100.2,,keep as is,,
PAXIP1-AS2,1,AC093726.1,,readthrough tr. deleted,PAXIP1-AS2-204,
PBX2,1,AL662884.1,,keep as is,,
PCBD2,1,CATSPER3,,readthrough tr. deleted,PCBD2-202,
PCBP1-AS1,1,ASPRV1,,keep as is,,
PCBP2,1,PCBP2-OT1,,keep as is,,
PCBP2-OT1,1,PCBP2,,keep as is,,single transcript
PCBP4,1,ABHD14B,,premature tr. deleted,PCBP4-213,
PCF11,1,AP000873.4,,keep as is,,
PCF11-AS1,1,AP000873.2,,keep as is,,
PCMTD1,1,AC103769.1,,keep as is,,
PCNT,1,AP000471.1,,keep as is,,
PDE10A,1,AL590302.1,,keep as is,,
PDE11A,1,AC011998.3,,keep as is,,
PDF,1,COG8,,keep as is,,single transcript
PDIA5,1,SEC22A,,readthrough tr. deleted,PDIA5-203,
PDPK1,1,AC093525.5,,keep as is,,
PDSS1,1,AL390961.2,,keep as is,,
PECR,1,MREG,,readthrough tr. deleted,PECR-202,
PEG13,1,TRAPPC9,,keep as is,,
PEG3,1,ZIM2,,keep as is,,
PELO,1,ITGA1,,keep as is,,
PET117,1,KAT14,,keep as is,,
PEX11A,1,PLIN1,,keep as is,,
PEX11B,1,RBM8A,,keep as is,,
PEX26,1,TUBA8,,readthrough tr. deleted,PEX26-204,
PFKFB4,1,UCN2,,premature tr. deleted,"PFKFB4-209, PFKFB4-215",
PFN2,1,ANKUB1,,keep as is,,
PGK1,1,ATP7A,,premature tr. deleted,PGK1-206,
PGP,1,BRICD5,,keep as is,,
PGPEP1L,1,AC036108.1,,keep as is,,
PHF10,1,AL354892.2,,keep as is,,
PHF20L1,1,AF230666.2,,keep as is,,
PHF21B,1,AL079301.1,,keep as is,,
PHKB,1,AC007599.2,,keep as is,,
PHLDA3,1,AC096677.2,,keep as is,,
PHLDB1,1,AP000941.1,,keep as is,,
PHLDB2,1,PLCXD2,,premature tr. deleted,PHLDB2-201,
PHOSPHO2,1,KLHL23,,keep as is,,
PIGBOS1,1,RAB27A,,keep as is,,
PIGM,1,KCNJ10,,keep as is,,
PIGQ,1,NHLRC4,,premature tr. deleted,"PIGQ-202, PIGQ-204",
PIGS,1,AC005726.1,,keep as is,,
PIGU,1,NCOA6,,premature tr. deleted,PIGU-206,
PIGX,1,NRROS,,premature tr. deleted,PIGX-205,
PIGY,1,PYURF,,keep as is,,
PIK3C3,1,AC087683.2,,keep as is,,
PILRA,1,PILRB,,premature tr. deleted,PILRA-204,
PILRB,1,PILRA,,keep as is,,
PINK1-AS,1,DDOST,,Delete,,overlaps with protein coding gene's exon
PIP5K1B,1,FAM122A,,transcripts deleted,PIP5K1B-209,
PIPOX,1,AC024619.1,,keep as is,,
PISRT1,1,MRPS22,,keep as is,,
PITPNC1,1,AC110921.1,,keep as is,,
PIWIL4,1,FUT4,,premature tr. deleted,"PIWIL4-202, PIWIL4-204",
PKD1,1,AC009065.5,,keep as is,,
PKIB,1,AL512283.1,,keep as is,,
PKN1,1,AC008569.2,,keep as is,,
PKNOX2,1,AP001007.3,,keep as is,,
PKP2,1,AC087588.2,,keep as is,,
PLAGL1,1,HYMAI,,keep as is,,
PLCB1,1,PLCB1-IT1,,keep as is,,
PLCB1-IT1,1,PLCB1,,keep as is,,
PLCE1,1,AL139118.1,,keep as is,,
PLCG2,1,AC099524.1,,premature tr. deleted,PLCG2-209,
PLCH1,1,AC104472.1,,keep as is,,
PLCXD2,1,PHLDB2,,keep as is,,
PLEKHA5,1,AC092828.1,,keep as is,,
PLEKHA6,1,LINC00628,,keep as is,,
PLEKHA8,1,AC007285.1,,keep as is,,minor overlap
PLEKHB2,1,POTEE,,keep as is,,
PLEKHG5,1,TNFRSF25,,keep as is,,minor overlap
PLEKHM3,1,AC083900.1,,keep as is,,
PLIN1,1,PEX11A,,keep as is,,
PLXNB3,1,SRPK3,,keep as is,,
PMEL,1,AC025162.1,,keep as is,,
PMM2,1,AC022167.2,,keep as is,,
PNKP,1,AKT1S1,,premature tr. deleted,PNKP-223,
PNMA8B,1,PPP5D1,,keep as is,,
PNPLA3,1,SAMM50,,readthrough tr. deleted,PNPLA3-202,
PNPLA6,1,MCOLN1,,keep as is,,minor overlap
PNPLA8,1,THAP5,,premature tr. deleted,PNPLA8-212,
POC1B,1,GALNT4,,keep as is,,
POLD3,1,AP001372.2,,premature tr. deleted,POLD3-204,
POLN,1,HAUS3,,premature tr. deleted,"POLN-204, POLN-210, POLN-213",
POLR2J2,1,AC105052.4,,keep as is,,
POPDC2,1,COX17,,keep as is,,
POTEE,1,PLEKHB2,,keep as is,,
POU2AF1,1,AP002008.3,,keep as is,,
POU2F1,1,AL136984.1,,keep as is,,
POU3F3,1,AC018730.1,,keep as is,,
POU5F1,1,PSORS1C3,,keep as is,,
POU5F2,1,FAM172A,,keep as is,,
POU6F1,1,AC139768.1,,keep as is,,
PPAN,1,P2RY11,,readthrough tr. deleted,"PPAN-201, PPAN-202",
PPARA,1,FP325332.1,,keep as is,,
PPCS,1,CCDC30,,readthrough tr. deleted,PPCS-206,
PPDPFL,1,AC044893.2,,keep as is,,
PPFIA1,1,AP002336.1,,keep as is,,
PPIAL4G,1,LINC01138,,keep as is,,
PPM1E,1,AC100832.2,,keep as is,,
PPP1CB,1,SPDYA,,keep as is,,
PPP1R12A,1,AC073569.3,,keep as is,,
PPP1R14B,1,AP001453.2,,keep as is,,
PPP1R3E,1,HOMEZ,,keep as is,,
PPP1R3F,1,AC232271.1,,keep as is,,
PPP1R42,1,COPS5,,premature tr. deleted,PPP1R42-202,
PPP2R2B,1,PPP2R2B-IT1,,keep as is,,
PPP2R2B-IT1,1,PPP2R2B,,keep as is,,
PPP3R2,1,GRIN3A,,keep as is,,
PRB1,1,PRB2,,premature tr. deleted,PRB1-204,
PRCP,1,AP000893.2,,keep as is,,
PRDM1,1,AL022067.1,,keep as is,,
PRDM15,1,AP001619.1,,keep as is,,
PRDX2,1,HOOK2,,keep as is,,
PREX1,1,AL133342.1,,keep as is,,
PRICKLE1,1,AC079600.3,,keep as is,,
PRICKLE2-AS1,1,AC092040.1,,keep as is,,
PRIM1,1,NACA,,keep as is,,
PRIM2,1,FO680682.1,,keep as is,,
PRKAR1A,1,AC007780.1,,keep as is,,
PRKCA,1,AC006947.1,,keep as is,,
PRKD1,1,AL133372.2,,keep as is,,
PRKG1,1,AC069079.1,,keep as is,,
